outcome,material,alerts,followed,ci_lo,ci_hi,chance,lift,false_alarm_rate,false_alarm_chance,median_lead_months
y2_neg_2of3,0.0,363,0.09090909090909091,0.054325910127106934,0.13534090909090904,0.09773095623987034,0.9301974973616765,0.9090909090909091,0.9022690437601296,0.0
y2_neg_2of3,4.0,361,0.09141274238227147,0.054088606078241744,0.1364989278388961,0.09773095623987034,0.9353509461005224,0.9085872576177285,0.9022690437601296,0.0
y2_neg_2of3,8.0,330,0.08787878787878788,0.05298459753294458,0.12483179886685551,0.09773095623987034,0.8991909141162873,0.9121212121212121,0.9022690437601296,0.0
y2_neg_2of3,12.0,280,0.08571428571428572,0.04704237288135593,0.12478870106761565,0.09773095623987034,0.8770433546552949,0.9142857142857143,0.9022690437601296,0.0
y4_ds_r_double,0.0,75,0.3466666666666667,0.24286978756884342,0.45073456422473684,0.3333333333333333,1.04,0.6533333333333333,0.6666666666666667,2.0
y4_ds_r_double,4.0,76,0.35526315789473684,0.2486837011227255,0.45750430292598965,0.3333333333333333,1.0657894736842106,0.6447368421052632,0.6666666666666667,2.0
y4_ds_r_double,8.0,63,0.3492063492063492,0.23575873940677966,0.47035923753665676,0.3333333333333333,1.0476190476190477,0.6507936507936508,0.6666666666666667,2.5
y4_ds_r_double,12.0,52,0.3076923076923077,0.1997004357298475,0.4405448717948717,0.3333333333333333,0.9230769230769231,0.6923076923076923,0.6666666666666667,2.5
y5_ap_od30_ownp80,0.0,143,0.20279720279720279,0.13493387004025303,0.2941616523011872,0.2508731082654249,0.8083656482728407,0.7972027972027972,0.749126891734575,2.0
y5_ap_od30_ownp80,4.0,131,0.1984732824427481,0.12889455782312925,0.2760274630305358,0.2508731082654249,0.7911301606418589,0.8015267175572519,0.749126891734575,2.5
y5_ap_od30_ownp80,8.0,113,0.21238938053097345,0.12963793103448276,0.3069306930693069,0.2508731082654249,0.8466008254111657,0.7876106194690266,0.749126891734575,3.0
y5_ap_od30_ownp80,12.0,88,0.20454545454545456,0.12699491188880616,0.3097902097902097,0.2508731082654249,0.8153343176545033,0.7954545454545454,0.749126891734575,2.0
y5_ar_od30_sust,0.0,100,0.21,0.1321825764596849,0.293326859045505,0.20170344560588463,1.0411324376199615,0.79,0.7982965543941154,3.0
y5_ar_od30_sust,4.0,90,0.2222222222222222,0.13404494382022472,0.3120588235294115,0.20170344560588463,1.1017274472168905,0.7777777777777778,0.7982965543941154,3.0
y5_ar_od30_sust,8.0,76,0.25,0.14473684210526316,0.36688818565400844,0.20170344560588463,1.239443378119002,0.75,0.7982965543941154,3.0
y5_ar_od30_sust,12.0,54,0.24074074074074073,0.1271212121212121,0.37943548387096737,0.20170344560588463,1.193538067818298,0.7592592592592593,0.7982965543941154,3.0
y7_top1_lost,0.0,190,0.4842105263157895,0.3857429718875502,0.5772543532338308,0.48929208804283164,0.9896144616861302,0.5157894736842106,0.5107079119571684,1.0
y7_top1_lost,4.0,189,0.48148148148148145,0.37928245146555006,0.5622519509476029,0.48929208804283164,0.9840369244624564,0.5185185185185186,0.5107079119571684,1.0
y7_top1_lost,8.0,141,0.49645390070921985,0.40143398268398267,0.5979411189358372,0.48929208804283164,1.0146370906896032,0.5035460992907801,0.5107079119571684,1.0
y7_top1_lost,12.0,105,0.5238095238095238,0.40250917332182173,0.6297941680960548,0.48929208804283164,1.0705456650745406,0.47619047619047616,0.5107079119571684,1.0
y7_top1_lost_inflow,0.0,177,0.23163841807909605,0.15527950310559005,0.3019586916461916,0.20770163735597333,1.1152459895253413,0.768361581920904,0.7922983626440266,2.0
y7_top1_lost_inflow,4.0,176,0.23295454545454544,0.16439260563380284,0.2992127071823204,0.20770163735597333,1.121582614465826,0.7670454545454546,0.7922983626440266,2.0
y7_top1_lost_inflow,8.0,129,0.23255813953488372,0.14940588235294117,0.3053053435114504,0.20770163735597333,1.1196740791037174,0.7674418604651163,0.7922983626440266,2.0
y7_top1_lost_inflow,12.0,93,0.23655913978494625,0.16263808139534885,0.3233258258258258,0.20770163735597333,1.1389372890667921,0.7634408602150538,0.7922983626440266,2.5
y9_fee_r_ownp80,0.0,370,0.3054054054054054,0.2544524953987456,0.35038043478260866,0.38594507269789985,0.7913183170613057,0.6945945945945946,0.6140549273021001,2.0
y9_fee_r_ownp80,4.0,364,0.29945054945054944,0.25100920679886685,0.34607212063166803,0.38594507269789985,0.775889033528213,0.7005494505494505,0.6140549273021001,2.0
y9_fee_r_ownp80,8.0,326,0.2791411042944785,0.22924540107621075,0.33281249999999996,0.38594507269789985,0.7232664025043206,0.7208588957055215,0.6140549273021001,2.0
y9_fee_r_ownp80,12.0,276,0.2826086956521739,0.22404214559386973,0.3426667642371613,0.38594507269789985,0.7322510783118277,0.7173913043478262,0.6140549273021001,1.5
y9_fee_spike,0.0,287,0.43902439024390244,0.37844987455001633,0.5028725805579585,0.4865066071096222,0.9024017019053129,0.5609756097560976,0.5134933928903778,2.0
y9_fee_spike,4.0,282,0.43617021276595747,0.37728312395483504,0.5010135135135134,0.4865066071096222,0.89653502417425,0.5638297872340425,0.5134933928903778,2.0
y9_fee_spike,8.0,248,0.43548387096774194,0.3694127611518916,0.49638400579564435,0.4865066071096222,0.8951242688254313,0.564516129032258,0.5134933928903778,1.5
y9_fee_spike,12.0,202,0.4207920792079208,0.35107009332038036,0.48724919093851127,0.4865066071096222,0.8649257236358677,0.5792079207920793,0.5134933928903778,2.0
